Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",86.000000,-83.500000,0.000000,top
"C2","22u","C_0805_2012Metric",91.500000,-89.000000,90.000000,top
"C3","10u","C_0603_1608Metric",74.500000,-72.750000,0.000000,top
"C4","100n","C_0402_1005Metric",70.500000,-77.250000,90.000000,top
"C5","100n","C_0402_1005Metric",79.750000,-86.500000,180.000000,top
"C6","100n","C_0402_1005Metric",82.500000,-78.000000,270.000000,top
"C7","100n","C_0402_1005Metric",74.000000,-74.500000,0.000000,top
"C8","10u","C_0402_1005Metric",70.500000,-81.500000,90.000000,top
"C9","1u","C_0402_1005Metric",70.000000,-85.500000,180.000000,top
"C10","1u","C_0402_1005Metric",70.000000,-87.000000,180.000000,top
"C11","100n","C_0402_1005Metric",75.000000,-86.500000,0.000000,top
"C12","10p","C_0402_1005Metric",67.750000,-77.500000,90.000000,top
"C13","10p","C_0402_1005Metric",67.500000,-82.000000,90.000000,top
"D1","RED","LED_0603_1608Metric",95.000000,-88.000000,270.000000,top
"FB1","Ferrite_Bead","L_0603_1608Metric",72.000000,-86.500000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",96.500000,-79.500000,90.000000,top
"R1","1k5","R_0402_1005Metric",95.500000,-85.500000,0.000000,top
"R2","10k","R_0402_1005Metric",61.250000,-75.000000,270.000000,top
"R3","1k5","R_0402_1005Metric",86.750000,-78.750000,270.000000,top
"R4","1k5","R_0402_1005Metric",68.500000,-91.000000,180.000000,top
"R5","1k5","R_0402_1005Metric",71.000000,-91.000000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",57.500000,-75.000000,270.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",86.500000,-89.000000,270.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",76.500000,-80.500000,0.000000,top
"Y1","16MHz","Crystal_SMD_0603-4Pin_6.0x3.5mm",64.750000,-79.500000,270.000000,top
